[I 2024-05-27 17:40:48,717] A new study created in memory with name: no-name-f1ed3c11-01bd-4200-abc5-aaae8f6f3d22
[I 2024-05-27 21:08:48,141] Trial 12 finished with value: 26.836333535200755 and parameters: {'lr': 0.06390657799481349, 'hs': 6, 'en': 372, 'dropout': 0.0001458368450915485}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:15:15,257] Trial 13 finished with value: 191.33298393618443 and parameters: {'lr': 0.06877188509581711, 'hs': 7, 'en': 376, 'dropout': 0.003275403074950957}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:21:10,469] Trial 14 finished with value: 27.275517661762837 and parameters: {'lr': 0.07985349791922966, 'hs': 8, 'en': 347, 'dropout': 0.0035118352279192716}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:25:08,621] Trial 15 finished with value: 52.58129611959498 and parameters: {'lr': 0.04948885240493226, 'hs': 5, 'en': 225, 'dropout': 0.005593597417136233}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:29:01,218] Trial 16 finished with value: 217.0161307372604 and parameters: {'lr': 0.07990903454507063, 'hs': 7, 'en': 224, 'dropout': 0.0007435767024063572}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:37:26,300] Trial 17 finished with value: 48.44864872827011 and parameters: {'lr': 0.09747831110342985, 'hs': 6, 'en': 500, 'dropout': 0.0023579136281082287}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:43:32,553] Trial 18 finished with value: 53.496654838571374 and parameters: {'lr': 0.0501287481581238, 'hs': 8, 'en': 355, 'dropout': 0.004652109293859763}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:44:01,617] Trial 19 finished with value: 74.34581516027129 and parameters: {'lr': 0.0528243900675255, 'hs': 5, 'en': 18, 'dropout': 0.000920031757837323}. Best is trial 11 with value: 0.4418505855395812.
[I 2024-05-27 21:46:55,531] A new study created in memory with name: no-name-ec38ace9-959a-4b5e-aebb-868d6d3b1607
TKAN Reynolds y_5 0.3947996541787113 0.5020266601828491 -7.9 27.4
[I 2024-05-27 21:49:55,151] Trial 0 finished with value: 101.0415187951351 and parameters: {'lr': 0.04582117130278811, 'hs': 2, 'en': 168, 'dropout': 0.003630739126851281}. Best is trial 0 with value: 101.0415187951351.
[I 2024-05-27 21:55:37,586] Trial 1 finished with value: 101.14186902596418 and parameters: {'lr': 0.09681473372196955, 'hs': 2, 'en': 329, 'dropout': 0.009208894756423653}. Best is trial 0 with value: 101.0415187951351.
[I 2024-05-27 22:03:44,202] Trial 2 finished with value: 34.350303633716294 and parameters: {'lr': 0.0823926735191213, 'hs': 6, 'en': 475, 'dropout': 0.0011517669292386726}. Best is trial 2 with value: 34.350303633716294.
[I 2024-05-27 22:11:44,722] Trial 3 finished with value: 99.86737948959973 and parameters: {'lr': 0.09635516103091184, 'hs': 2, 'en': 470, 'dropout': 0.008269086812937122}. Best is trial 2 with value: 34.350303633716294.
[I 2024-05-27 22:18:28,755] Trial 4 finished with value: 100.87808169369924 and parameters: {'lr': 0.013779248183923603, 'hs': 2, 'en': 392, 'dropout': 0.006346763415347104}. Best is trial 2 with value: 34.350303633716294.
[I 2024-05-27 22:23:26,827] Trial 5 finished with value: 34.20088936741696 and parameters: {'lr': 0.08502045433354384, 'hs': 5, 'en': 288, 'dropout': 0.0007184691528555761}. Best is trial 5 with value: 34.20088936741696.
[I 2024-05-27 22:29:54,654] Trial 6 finished with value: 67.0220236453175 and parameters: {'lr': 0.0776394163579754, 'hs': 6, 'en': 377, 'dropout': 0.0038812628266542237}. Best is trial 5 with value: 34.20088936741696.
